Commodity name,HSCode,FY25 import value (mm$),Last 4 Years import value average annual growth (%),FY25 export value (mm$),Last 4 Years export value average annual growth (%),Import Value/ Export Value FY25 ratio,Import Value/ Export Value Last 4 years ratio,Last 4 Years import price average annual growth (%),FY25 import price ($/unit),Last 4 Years export price average annual growth (%),FY25 export price ($/unit),Unit
OTHER CUTS OF SHEEP WITH BONE IN& FROZEN,2044200,1.7,0.71,1.4,-17.14,1.21,0.8,-0.61,10.29,-1.71,2.97,KGS
BONELESS MEAT OF SHEEP& FROZEN,2044300,0.82,7.34,0.13,-24,6.31,2.14,-0.65,4.94,-1.5,1.6,KGS
MEAT OF GOATS,2045000,0,-5.56,0.84,46.18,0,0,-5.56,0,5.71,4.29,KGS
MEAT OF HORSES& ASSES& MULES& HINNIES& FRESH& CHILLED OR FROZEN,2050000,0,0,0,0,0,0,0,0,0,0,KGS
EDBL OFFAL OF BOVINE ANMLS&FRSH/CHILLED,2061000,0,0,4.64,55.61,0,0,0,0,-0.15,2.25,KGS
EDIBLE TONGUES OF BOVINE ANIMALS& FROZEN,2062100,0,0,5.63,7.96,0,0,0,0,0.76,2.41,KGS
EDIBLE LIVERS OF BOVINE ANIMALS& FROZEN,2062200,0,0,12.34,14.38,0,0,0,0,-0.28,0.96,KGS
OTHR EDIBLE OFFAL OF BOVINE ANIMALS&FROZEN,2062900,0,0,246.55,0.58,0,0,0,0,0.16,2.24,KGS
EDIBLE OFFAL OF SWINE& FRESH OR CHILLED,2063000,0,0,0,0,0,0,0,0,0,0,KGS
EDIBLE LIVERS OF SWINE& FROZEN,2064100,0,0,0,0,0,0,0,0,0,0,0
EDINLE OFFAL EXCL LIVER OF SWINE& FRZN,2064900,0,0,0,0,0,0,0,0,0,0,0
EDIBLE OFFAL OF SHEEP/GOATS& FRESH/CHILLD,2068010,0,0,0.23,26.67,0,0,0,0,0.98,4.83,KGS
OTHERS.,2068090,0,0,0,0,0,0,0,0,0,0,KGS
EDIBLE OFFAL OF SHEEP/GOATS& FROZEN,2069010,0.02,0,0,0,0,0,0,2.45,0,0,KGS
OTHER EDBLE OFFL OF BVNE ANMLS& FROZN.,2069090,0,0,0.02,-47.92,0,0,0,0,54.09,6.65,KGS
MEAT/EDBL OFAL OF FOWLS OF THE SPCS GALS DOMESTICUS NOT CUT IN PIECES&FRES/CHILLED,2071100,0,0,0,-50,0,0,0,0,-5.56,0,KGS
MEAT/EDBL OFAL OF FOWLSOF THE SPCS GALS DOMESTICUS NOT CUT IN PIECES&FROZEN,2071200,0.01,-4.72,5.95,72.43,0,0.02,-191.49,5.38,0.01,1.95,KGS
CUTS AND OFAL OF FWLS OF THE SPCS GALS DOMSTCS.FRSH/CHILD,2071300,0,0,0,-50,0,0,0,0,-5.56,0,0
CUTS AND OFAL OF FOWLS OF THE SPECIS GALS DOMSTCUS& FRZN,2071400,0,0,2.45,91.35,0,0,0,0,1.81,1.25,KGS
MEAT AND EDBL OFAL OF TURKYS WHOL FRSH/CHLD,2072400,0,0,0,0,0,0,0,0,0,0,KGS
MEATAND EDIBLE OFALS OF TURKEYS WHOLE&FRZN,2072500,0.04,-4.68,0,0,0,0,-2.11,4.01,0,0,KGS
CUTS AND OFFAL OFTURKEYS FRESH/CHILLED,2072600,0,0,0,0,0,0,0,0,0,0,0
CUTS AND OFFAL OF TURKEYS FROZEN,2072700,0.01,-2.22,0,0,0,0,0.44,6.57,0,0,KGS
DUCKS; NOT CUT IN PIECES& FROZEN,2074200,0.44,1.78,0,0,0,0,0,3.77,0,0,KGS
DUCKS; OTHER& FRESH OR CHILLED,2074400,0,0,0,0,0,0,0,0,0,0,KGS
DUCKS; OTHER& FROZEN,2074500,0.08,0.51,0,0,0,0,-0.03,9.33,0,0,KGS
GEESE; OTHER& FROZEN,2075500,0,0,0,-50,0,0,0,0,-5.56,0,KGS
MEAT EDBL OFL OFRABT/HARES FRSH CHLD/FRZN,2081000,0,0,0,0,0,0,0,0,0,0,KGS
OTHER (EXCLUDING WILD ANIMALS),2089090,0,0,0,0,0,0,0,0,0,0,KGS
PIG FAT,2091000,0,0,0,0,0,0,0,0,0,0,KGS
OTHER FAT,2099000,0,0,0,0,0,0,0,0,0,0,KGS
BELLIES(STREAKY)ANDCUTS THEREOF OF SWINE,2101200,0.05,0,0,0,0,0,0,8.57,0,0,0
OTHR MEAT OF SWINE&SLTD&IN BRINE&DRD/SMKD,2101900,0.02,5.56,0,0,0,0,14.1,6.81,0,0,KGS
MEAT AND EDBL MEAT OFFAL OF BOVINE ANIMALS,2102000,0,0,0,-50,0,0,0,0,-5.56,0,KGS
OTHR INCLDNG EDBL FLOURS AND MEALS OF MEAT/ MEAT OFL OF PRIMATES,2109100,0,0,0,0,0,0,0,0,0,0,KGS
OTHER FLOURS MEALS OF MEAT OR MEAT OFFL.,2109900,0,0,0.23,13.89,0,0,0,0,0.01,30.9,KGS
FRESHWATER ORNAMENTAL FISH,3011100,1.68,11.31,1.44,-19.05,1.17,0.4,1.58,42.8,-4.47,5.03,KGS
OTHER ORNAMENTAL FISH,3011900,1.31,-1.04,0.34,6.67,3.85,4.96,-182.06,25.13,-3.43,8.05,KGS
TROUT (SALMO TRUTTA& ONCORHYNCHUS MYKISS CLARKI AGUABONITA GILAE APACHE AND CHRYGASTR,3019100,0.01,11.11,0,0,0,0,-2.34,61.35,0,0,KGS
LIVE EELS (ANGUILLA SPP),3019200,0,0,0,-50,0,0,0,0,-5.56,0,KGS
LIVE CARP,3019300,0,0,0.02,0,0,0,0,0,1.98,50,KGS
OTHER LIVE FISH,3019900,0.04,-4.72,0.01,25,4,28,-2.04,10.79,-29.84,322.58,KGS
TROUT FRESH OR CHILLED,3021100,0.13,211.11,0,-50,0,0.93,-0.14,199.69,-5.56,0,0
PACIFIC SALMON FRESH OR CHILLED,3021300,0,0,0,0,0,0,0,0,0,0,KGS
ATLANTIC SALMON (SALMO SALAR) AND DANUBE SALMON (HUCHO HUCHO) FRESH OR CHILLED,3021400,3.18,1.5,0,0,0,0,-0.34,10.5,0,0,KGS
OTHER SALMONIDE FRESH OR CHILLED EXCL OF HEADING 030291 TO 030299,3021900,0,0,1.06,-21.91,0,0,0,0,-1.08,2.09,KGS
HALIBUT FRESH OF CHILLED,3022100,0,-5.56,0,0,0,0,-5.56,0,0,0,KGS
SOLE FRESH OR CHILLED,3022300,0,0,0.11,21.74,0,0,0,0,0.47,4.33,KGS
TURBOTS FRESH OR CHILLED,3022400,0,0,0,0,0,0,0,0,0,0,KGS
OTHER FLAT FISH FRESH OR CHILLED EXCL OF HEADING 030291 TO 030299,3022900,0,0,0.11,76.92,0,0,0,0,2.15,5.13,KGS
ALBACORE FRESH OR CHILLED,3023100,0,0,0,0,0,0,0,0,0,0,KGS
YELLOWFIN TUNAS FRESH OR CHILLED,3023200,0,0,0.02,-48.2,0,0,0,0,-1.85,5.32,KGS
SKIPJACK TUNA OR STRIPE BELLIED BONITO FRESH OR CHILLED,3023300,0,0,0.07,0,0,0,0,0,0.03,1.2,KGS
BIGEYE TUNAS FRESH OR CHILLED,3023400,0,0,0,0,0,0,0,0,0,0,KGS
ALTANTIC AND PACIFIC BULEFIN TUNAS FRESH OR CHILLED,3023500,0,0,0,0,0,0,0,0,0,0,KGS
SOUTHERN BLUEFIN TUNAS FRESH OR CHILLED,3023600,0,0,0,0,0,0,0,0,0,0,KGS
OTHER,3023900,0.03,0,0.85,-5.73,0.04,0.01,0.02,10.42,0.96,10.62,KGS
HERRINGS FRESH OR CHILLED,3024100,0,0,0,0,0,0,0,0,0,0,KGS
ANCHOVIES FRESH OR CHILLED,3024200,0,0,0.96,-3.99,0,0,0,0,0.75,4.07,KGS
SARDINES FRESH OR CHILLED,3024300,0,0,0.15,-24.14,0,0,0,0,-1.23,2.58,KGS
MACKEREL FRESH OR CHILLED,3024400,0,0,0.99,-14.89,0,0,0,0,-0.92,7.03,KGS
JACK AND HORSE MACKEREL FRESH OR CHILLED,3024500,0,0,0,-50,0,0,0,0,-5.56,0,KGS
COBIA FRESH OF CHILLED,3024600,0,0,0,-50,0,0,0,0,-5.56,0,KGS
SWORD FISH FRESH OR CHILLED,3024700,0,0,0.36,-17.27,0,0,0,0,-1.82,4.78,KGS
OTHER FISH INCL INDIAN MACKERELS& CREVALLES& SILVER POMFRETS& SCADS& CAPELIN& KAWAKAWA FRESH OR CHILLED,3024900,0,0,1.3,28.31,0,0,0,0,0.22,9.69,KGS
COD FRESH OR CHILLED,3025100,0,0,0,-50,0,0,0,0,-5.56,0,KGS
HADDOCK FRESH OR CHILLED,3025200,0,0,0,0,0,0,0,0,0,0,KGS
COAL FISH FRESH OR CHILLED,3025300,0,0,0,0,0,0,0,0,0,0,KGS
OTHER FISH OF FAMILIES BREGMACEROTIDAE& EUCLICHTHYIDAE& GADIDAE ETC FRESH OR CHILLED,3025900,0,0,13.42,30.71,0,0,0,0,1.07,0.44,KGS
TILAPIAS FRESH OR CHILLED,3027100,0,-5.56,0,0,0,0,-5.56,0,0,0,KGS
CATFISH FRESH OR CHILLED,3027200,40.09,4.81,2.08,-6.06,19.27,11.39,-0.03,2.55,-0.7,1.51,KGS
CARP FRESH OR CHILLED,3027300,25.78,8.55,3.64,-9.73,7.08,3.27,0,2.55,-0.18,0.66,KGS
EELS FRESH OR CHILLED,3027400,0.08,127.78,0.05,18.18,1.6,0.56,-0.06,2.47,1.18,9.39,KGS
OTHER FISH INCL NILE PERCH AND SNAKEHEADS FRESH OR CHILLED,3027900,7.47,5.61,0.67,1.02,11.15,7.05,0,2.55,-0.67,1.68,KGS
DOGFISH AND OTHER SHARKS FRESH OR CHILLED,3028100,0,0,0,0,0,0,0,0,0,0,KGS
RAYES AND SKATES FRESH OR CHILLED,3028200,0,0,0,0,0,0,0,0,0,0,KGS
SEABASS FRESH OR CHILLED,3028400,0,0,0.02,0,0,0,0,0,6.22,10.71,KGS
SABREAM FRSH OR CHILLED,3028500,0.02,0,0.19,100,0.11,0.05,0.71,33.06,-1.52,1.85,KGS
HILSA ( TENUALOSA ILISHA) FRESH OR CHILLED,3028910,11.71,-0.86,0,-50,0,760.57,0.36,9.81,-5.56,0,KGS
DARA FRESH OR CHILLED,3028920,0,0,0.08,-44.29,0,0,0,0,-1.71,6.7,KGS
POMFRET FRESH OR CHILLED,3028930,0.1,36.11,8.63,-5.8,0.01,0,0.28,2.67,-0.63,11.34,KGS
OTHER,3028990,1.42,-3.36,16.54,6.21,0.09,0.2,0,2.55,2.04,6.17,KGS
FISH FINS OTHER THAN SHARK FINS; HEADS& TAILS AND MAWS FRESH OR CHILLED,3029910,0,0,0,-50,0,0,0,0,-5.56,0,KGS
OTHER EDIBLE FISH OFFAL FRESH OR CHILLED,3029990,0,0,0,0,0,0,0,0,0,0,KGS
SOCKEYE SALMON FROZEN,3031100,0.01,0,0,0,0,0,-29.77,38.02,0,0,KGS
OTHER PACIFIC SALMON FROZEN,3031200,2.94,96.53,2.08,4407.14,1.41,1.59,0.03,2.27,0.01,4.52,KGS
ATLANTIC SALMON AND DANUBE SALMON FROZEN,3031300,1.06,62.39,0,0,0,0,-0.86,4.18,0,0,KGS
TROUT FROZEN,3031400,0.01,11.11,0,0,0,0,0.85,20,0,0,KGS
OTHER SALMONIDE FROZEN EXCL OF HEADING 030391 TO 030399,3031900,0.02,-3.47,1.73,9.93,0.01,0.03,-2.82,1.79,-1.29,1.98,KGS
TILAPIAS FROZEN,3032300,0,-5.56,17.63,119.96,0,0,-5.56,0,0.35,1.09,KGS
CATFISH FROZEN,3032400,0.17,-0.4,2.39,5.41,0.07,0.08,0,0.98,6.27,2.68,KGS
CARP FROZEN,3032500,0.71,6.4,3.34,26.26,0.21,0.17,-0.67,1.99,-0.04,1.19,KGS
EELS FROZEN,3032600,0.26,138.89,1.74,-9.72,0.15,0.04,0.43,1.93,-0.05,1.26,KGS
OTHER FISH INCL NILE PERCH AND SNAKEHEADS FROZEN,3032900,0.03,-1.01,4.62,-22.14,0.01,0,0.14,1.31,3.7,4.14,KGS
HALIBUT FROZEN,3033100,0,0,0,0,0,0,0,0,0,0,KGS
PLAICE FROZEN,3033200,0,0,0,0,0,0,0,0,0,0,KGS
SOLE FROZEN,3033300,0,-5.56,9.52,-4.26,0,0.01,-5.56,0,-0.03,1.4,KGS
OTHER FLAT FROZEN EXCL OF HEADING 030391 TO 030399,3033900,2.17,13.48,2.44,54.27,0.89,0.68,-0.58,2.33,4.72,4.44,KGS
ALBACORE FROZEN,3034100,0,0,0,-50,0,0,0,0,-5.56,0,KGS
YELLOWFIN TUNAS FROZEN,3034200,0.01,-5.38,24.37,8.52,0,0.01,-39.3,20,-0.6,1.84,KGS
SKIPJACK TUNA( STRIPE-BELLIED BONITO)& (KATSUWONUSPELAMIS),3034300,0.08,-3.26,36.1,-2.09,0,0,-0.65,1.45,-0.27,1.27,KGS
BIGEYE TUNAS FROZEN,3034400,0,0,0,0,0,0,0,0,0,0,KGS
ATLANTIC AND PACIFIC BLUEFIN TUNAS FROZEN,3034500,0,-5.56,0,0,0,0,-5.56,0,0,0,KGS
SOUTHERN BLUEFIN TUNAS FROZEN,3034600,0,0,0,0,0,0,0,0,0,0,KGS
OTHER TUNAS FROZEN EXCL OF HEADING 030391 TO 030399,3034900,0.61,33.55,2.64,-11.06,0.23,0.07,0.79,2.38,2.12,1.94,KGS
HERRINGS FROZEN,3035100,0,-5.56,0,0,0,0,-5.56,0,0,0,KGS
SARDINES& SARDINELLA& BRISLING OR SPRATS FROZEN,3035300,0.13,-5.02,1.78,8.04,0.07,0.65,3.85,0.95,-1.56,1.01,KGS
MACKEREL FROZEN,3035400,0,-5.56,1.52,3.9,0,0.01,-5.56,0,0.84,1.21,KGS
JACK AND HORSE MACKEREL FROZEN,3035500,0,0,2.59,-4.51,0,0,0,0,-0.32,0.75,KGS
COBIA FROZEN,3035600,0,-5.56,0,-50,0,0.17,-5.56,0,-5.56,0,KGS
SWORD FISH FROZEN,3035700,0,-5.56,3.2,-22.56,0,0.01,-5.56,0,-1.34,3.42,KGS
*OTHER FISH INCL INDIAN MACKERELS& CREVALLES& SILVER POMFRETS& SCADS& CAPELIN& KAWAKAWA FROZEN,3035900,0,0,0,0,0,0,0,0,0,0,KGS
INDIAN MACKERELS (RASTRELLIGER SPP.),3035910,0.01,-4.58,155.7,0.18,0,0,7.41,3.33,0.7,1.67,KGS
OTHER,3035990,0,0,0.6,52.27,0,0,0,0,1.27,3.21,KGS
COD FROZEN,3036300,0.28,6.73,0,-50,0,6,-2.84,5.72,-5.56,0,KGS
HADDOCK FROZEN,3036400,0.03,0,0,0,0,0,0,2.9,0,0,KGS
COAL FISH FROZEN,3036500,0,0,0.01,0,0,0,0,0,0,100,KGS
HAKE FROZEN,3036600,0,0,0,0,0,0,0,0,0,0,KGS
ALASKA POLLACK FROZEN (THERAGRA CHALCOGRAMMA),3036700,0,-5.56,0,0,0,0,-5.56,0,0,0,KGS
OTHER FISH OF FAMILIES BREGMACEROTIDAE& EUCLICHTHYIDAE& GADIDAE ETC FROZEN,3036900,0.05,-5.5,4.5,-7.12,0.01,0.8,0.5,0.93,0.32,1.81,KGS
DOGFISH FROZEN,3038110,0,-5.56,0,0,0,0,-5.56,0,0,0,KGS
OTHER SHARKS FROZEN,3038190,0,-5.56,0,0,0,0,-5.56,0,0,0,KGS
RAYS AND SKATES (RAJIDAE) FROZEN,3038200,0,-5.56,1.08,-1.79,0,0.03,-5.56,0,0.1,1.29,KGS
TOOTH FISH (DISSOSTICHUS SPP.) FROZEN,3038300,1.14,9.89,0,0,0,0,0.18,32.75,0,0,KGS
SEABASS (DICENTRARCHUS SPP.) FROZEN,3038400,0,-5.56,0,-50,0,11,-5.56,0,-5.56,0,KGS
HILSA (TENUALOSA ILISHA) FROZEN,3038910,45.86,7.73,1.65,30.62,27.79,21.91,0.28,6.91,-0.95,2.65,KGS
DARA FROZEN,3038920,0,0,0,0,0,0,0,0,0,0,KGS
RIBBON FISH FROZEN,3038930,0.06,-5.15,171.49,0.54,0,0,3.61,3.05,-0.31,1.81,KGS
SEER FROZEN,3038940,0.49,811.11,3.87,-14.78,0.13,0.02,0.21,1.69,-0.42,4.12,KGS
POMFRET (WHITE OR SILVER OR BLACK) FROZEN,3038950,2.1,6.23,35.91,-1.11,0.06,0.03,-0.1,1.86,0.03,12.01,KGS
GHOL FROZEN,3038960,0.02,0,0.17,-14.08,0.12,0.02,0,1.14,0.01,4.59,KGS
THREADFIN FROZEN,3038970,0,-5.56,2.47,5.88,0,0.01,-5.56,0,-0.45,1.62,KGS
CROAKERS& GROUPERS AND FLOUNDERS FROZEN,3038980,0.26,-2.61,60.74,-5.76,0,0.01,-1.31,1.22,-0.84,1.3,KGS
OTHER FROZEN FISH,3038990,0.14,0.75,42.3,28.92,0,0,37.61,10.59,0,2.55,KGS
EGG OR EGG YOLK OF FISH FROZEN,3039110,0,-5.56,0.95,121.69,0,0.01,-5.56,0,1.29,8.38,KGS
OTHER,3039190,0,-5.56,0,-50,0,0.01,-5.56,0,-5.56,0,KGS
*SHARK FINS FROZEN,3039210,0,0,0,-50,0,0,0,0,-5.56,0,KGS
FISH FINS OTHER THAN SHARK FINS& HEADS& TAILS AND MAWS FROZEN,3039910,0,0,0.32,-5.14,0,0,0,0,3.69,8.27,KGS
OTHER EDIBLE FISH OFFAL FROZEN,3039990,0,-5.56,0,0,0,0,-5.56,0,0,0,KGS
FISH AND CHLD FILLETS OF TILAPIAS (OREOCHROMIS SPP.),3043100,0,0,0.08,0,0,0,0,0,0.49,3.61,KGS
FRSH OR CHLD FILLETS CATFISH (PANGASIUS SPP.& SILURUS SPP.&CLARIAS SPP.& ICTALURUS SPP.),3043200,0,-5.56,0.01,-42.5,0,0.62,-5.56,0,38.61,3.13,KGS
FRSH OR CHLD FILLETS NILE PERCH (LATES NILOTICUS),3043300,0,-5.56,0,0,0,0,-5.56,0,0,0,KGS
OTHER FRESH OR CHILLED FILLETS OF THE FAMILY TILAPIAS& CATFISH ETC.,3043900,0,0,0.33,4.4,0,0,0,0,5.34,14.53,KGS
FRSH OR CHLD FILLETS OF PACIFIC SALMON & ATLANTIC SALMON (SALMO SALAR) AND DANUBE SALMON,3044100,0.21,-0.09,0.01,100,21,42.5,-0.54,15.33,8.76,14.29,KGS
FRSH OR CHLD FILLETS OF TROUT,3044200,0.01,0,0,0,0,0,0,25,0,0,KGS
FRSH OR CHLD FILLETS OF FLAT FISH (PLEURONECTIDAE& BOTHIDAE& CYNOGLOSSIDAE& SOLEIDAE& SCOPHTHALMIDAE AND CITHARIDAE,3044300,0,0,0,0,0,0,0,0,0,0,KGS
FRSH OR CHLD FILLETS OF FISH OF THE FAMILIES BREGMACEROTIDAE,3044400,0,0,0,0,0,0,0,0,0,0,KGS
FRSH OR CHLD FILLETS OF SWORDFISH (XIPHIAS GLADIUS),3044500,0,0,0.68,-31.91,0,0,0,0,-0.61,6.42,KGS
FRSH OR CHLD FILLETS OF TOOTH FISH (DISSOSTICHUS SPP.),3044600,0.03,-2.43,0,0,0,0,0,42.25,0,0,KGS
FRSH OR CHLD FILLETS OF HILSA (TENUALOSA ILISHA),3044910,0,0,0,0,0,0,0,0,0,0,KGS
FRSH OR CHLD FILLETS OF SEER,3044930,0,0,0.02,-22.73,0,0,0,0,5.87,13.46,KGS
FRSH OR CHLD FILLETS OF TUNA,3044940,0.05,-1.39,0.73,22.04,0.07,0.11,-1.44,14.09,-0.37,6.83,KGS
OTHER,3044990,0.16,261.11,0.11,-38.04,1.45,0.11,0,18.63,11.97,9.7,KGS
FRSH OR CHLD FILLETS OF TILAPIAS &CATFISH&CARP& EELS & NILE PERCH AND SNAKEHEADS,3045100,0,0,0,-50,0,0,0,0,-5.56,0,KGS
FRSH OR CHLD FILLETS OF SWORD FISH,3045400,0,0,0.38,235,0,0,0,0,-0.04,6.98,KGS
FRSH OR CHLD FILLETS OF TOOTH FISH (DISSOSTICHUS SPP.),3045500,0,0,0,0,0,0,0,0,0,0,KGS
FRSH OR CHLD FILLETS OF HILSA (TENUALOSA ILISHA),3045910,0,-5.56,0,0,0,0,-5.56,0,0,0,KGS
FRSH OR CHLD FILLETS OF SEER,3045930,0,0,0,-50,0,0,0,0,-5.56,0,KGS
FRSH OR CHLD FILLETS OF TUNA,3045940,0.01,0,0.07,-17.19,0.14,0.03,0,1.2,0.07,7.72,KGS
OTHER,3045990,0,-5.56,0.69,0,0,4.86,-5.56,0,0.17,17.77,KGS
FROZEN FILLETS OF TILAPIAS (OREOCHROMIS SPP.),3046100,0.08,7.78,0.15,16.18,0.53,0.37,1.68,6.13,-0.84,2.54,KGS
